Version, Version Name, Name, Age, Revisions, Bugfix, LOCs, LOCs Touched, LOCs Added, Churn, Avg. Churn, Authors Number, Average Change Set, Buggy
2,refs/tags/release-3.0.1,src/java/main/org/apache/jute/Record.java,1,0,0,30,0,0,0,0,2,0,false
2,refs/tags/release-3.0.1,src/java/main/org/apache/jute/RecordReader.java,1,0,0,89,0,0,0,0,2,0,false
2,refs/tags/release-3.0.1,src/java/main/org/apache/jute/RecordWriter.java,1,0,0,106,0,0,0,0,2,0,false
2,refs/tags/release-3.0.1,src/java/main/org/apache/jute/Utils.java,1,0,0,262,0,0,0,0,3,0,false
2,refs/tags/release-3.0.1,src/java/main/org/apache/jute/XmlInputArchive.java,1,0,0,216,0,0,0,0,2,0,false
2,refs/tags/release-3.0.1,src/java/main/org/apache/jute/XmlOutputArchive.java,1,0,0,217,0,0,0,0,3,0,false
2,refs/tags/release-3.0.1,src/java/main/org/apache/jute/compiler/CGenerator.java,1,0,0,78,0,0,0,0,3,0,false
2,refs/tags/release-3.0.1,src/java/main/org/apache/jute/compiler/CppGenerator.java,1,0,0,74,0,0,0,0,2,0,false
2,refs/tags/release-3.0.1,src/java/main/org/apache/jute/compiler/JBoolean.java,1,0,0,37,0,0,0,0,3,0,false
2,refs/tags/release-3.0.1,src/java/main/org/apache/jute/compiler/JBuffer.java,1,0,0,94,0,0,0,0,2,0,false
2,refs/tags/release-3.0.1,src/java/main/org/apache/jute/compiler/JByte.java,1,0,0,31,0,0,0,0,2,0,false
2,refs/tags/release-3.0.1,src/java/main/org/apache/jute/compiler/JCompType.java,1,0,0,48,0,0,0,0,2,0,false
2,refs/tags/release-3.0.1,src/java/main/org/apache/jute/compiler/JDouble.java,1,0,0,35,0,0,0,0,2,0,false
2,refs/tags/release-3.0.1,src/java/main/org/apache/jute/compiler/JField.java,1,0,0,81,0,0,0,0,2,0,false
2,refs/tags/release-3.0.1,src/java/main/org/apache/jute/compiler/JFile.java,1,0,0,68,0,0,0,0,2,0,false
2,refs/tags/release-3.0.1,src/java/main/org/apache/jute/compiler/JFloat.java,1,0,0,34,0,0,0,0,2,0,false
2,refs/tags/release-3.0.1,src/java/main/org/apache/jute/compiler/JInt.java,1,0,0,31,0,0,0,0,2,0,false
2,refs/tags/release-3.0.1,src/java/main/org/apache/jute/compiler/JLong.java,1,0,0,34,0,0,0,0,2,0,false
2,refs/tags/release-3.0.1,src/java/main/org/apache/jute/compiler/JMap.java,1,0,0,86,0,0,0,0,2,0,false
2,refs/tags/release-3.0.1,src/java/main/org/apache/jute/compiler/JRecord.java,1,0,0,465,0,0,0,0,4,0,false
2,refs/tags/release-3.0.1,src/java/main/org/apache/jute/compiler/JString.java,1,0,0,41,0,0,0,0,2,0,false
2,refs/tags/release-3.0.1,src/java/main/org/apache/jute/compiler/JType.java,1,0,0,119,0,0,0,0,2,0,false
2,refs/tags/release-3.0.1,src/java/main/org/apache/jute/compiler/JVector.java,1,0,0,89,0,0,0,0,3,0,false
2,refs/tags/release-3.0.1,src/java/main/org/apache/jute/compiler/JavaGenerator.java,1,0,0,57,0,0,0,0,2,0,false
2,refs/tags/release-3.0.1,src/java/main/org/apache/jute/compiler/generated/ParseException.java,1,0,0,196,0,0,0,0,2,0,false
2,refs/tags/release-3.0.1,src/java/main/org/apache/jute/compiler/generated/Rcc.java,1,0,0,493,0,0,0,0,2,0,false
2,refs/tags/release-3.0.1,src/java/main/org/apache/jute/compiler/generated/RccConstants.java,1,0,0,82,0,0,0,0,2,0,false
2,refs/tags/release-3.0.1,src/java/main/org/apache/jute/compiler/generated/RccTokenManager.java,1,0,0,825,0,0,0,0,2,0,false
2,refs/tags/release-3.0.1,src/java/main/org/apache/jute/compiler/generated/SimpleCharStream.java,1,0,0,386,0,0,0,0,2,0,false
2,refs/tags/release-3.0.1,src/java/main/org/apache/jute/compiler/generated/Token.java,1,0,0,88,0,0,0,0,2,0,false
2,refs/tags/release-3.0.1,src/java/main/org/apache/jute/compiler/generated/TokenMgrError.java,1,0,0,137,0,0,0,0,2,0,false
2,refs/tags/release-3.0.1,src/java/main/org/apache/zookeeper/AsyncCallback.java,1,0,0,44,0,0,0,0,3,0,false
2,refs/tags/release-3.0.1,src/java/main/org/apache/zookeeper/ClientCnxn.java,1,1,1,942,182,98,13,13.0,4,6.0,false
2,refs/tags/release-3.0.1,src/java/main/org/apache/zookeeper/ClientWatchManager.java,1,0,0,36,0,0,0,0,2,0,false
2,refs/tags/release-3.0.1,src/java/main/org/apache/zookeeper/CreateMode.java,1,0,0,75,0,0,0,0,1,0,false
2,refs/tags/release-3.0.1,src/java/main/org/apache/zookeeper/KeeperException.java,1,0,0,282,0,0,0,0,2,0,false
2,refs/tags/release-3.0.1,src/java/main/org/apache/zookeeper/ServerAdminClient.java,1,0,0,271,0,0,0,0,2,0,false
2,refs/tags/release-3.0.1,src/java/main/org/apache/zookeeper/Version.java,1,0,0,69,0,0,0,0,2,0,false
2,refs/tags/release-3.0.1,src/java/main/org/apache/zookeeper/WatchedEvent.java,1,0,0,72,0,0,0,0,1,0,false
2,refs/tags/release-3.0.1,src/java/main/org/apache/zookeeper/Watcher.java,1,0,0,92,0,0,0,0,2,0,false
2,refs/tags/release-3.0.1,src/java/main/org/apache/zookeeper/ZooDefs.java,1,0,0,81,0,0,0,0,3,0,false
2,refs/tags/release-3.0.1,src/java/main/org/apache/zookeeper/ZooKeeper.java,1,1,1,970,7,5,3,3.0,4,6.0,true
2,refs/tags/release-3.0.1,src/java/main/org/apache/zookeeper/ZooKeeperMain.java,1,0,0,213,0,0,0,0,2,0,false
2,refs/tags/release-3.0.1,src/java/main/org/apache/zookeeper/server/ByteBufferInputStream.java,1,0,0,62,0,0,0,0,2,0,false
2,refs/tags/release-3.0.1,src/java/main/org/apache/zookeeper/server/DataNode.java,1,1,1,108,2,1,0,0.0,4,3.0,false
2,refs/tags/release-3.0.1,src/java/main/org/apache/zookeeper/server/DataTree.java,1,0,0,735,0,0,0,0,5,0,false
2,refs/tags/release-3.0.1,src/java/main/org/apache/zookeeper/server/FinalRequestProcessor.java,1,0,0,252,0,0,0,0,5,0,false
2,refs/tags/release-3.0.1,src/java/main/org/apache/zookeeper/server/LogFormatter.java,1,0,0,66,0,0,0,0,3,0,false
2,refs/tags/release-3.0.1,src/java/main/org/apache/zookeeper/server/NIOServerCnxn.java,1,0,0,798,0,0,0,0,4,0,true
2,refs/tags/release-3.0.1,src/java/main/org/apache/zookeeper/server/PrepRequestProcessor.java,1,0,0,440,0,0,0,0,5,0,false
2,refs/tags/release-3.0.1,src/java/main/org/apache/zookeeper/server/PurgeTxnLog.java,1,0,0,85,0,0,0,0,2,0,true
2,refs/tags/release-3.0.1,src/java/main/org/apache/zookeeper/server/Request.java,1,0,0,175,0,0,0,0,6,0,false
2,refs/tags/release-3.0.1,src/java/main/org/apache/zookeeper/server/RequestProcessor.java,1,0,0,34,0,0,0,0,2,0,false
2,refs/tags/release-3.0.1,src/java/main/org/apache/zookeeper/server/ServerCnxn.java,1,0,0,56,0,0,0,0,3,0,true
2,refs/tags/release-3.0.1,src/java/main/org/apache/zookeeper/server/ServerConfig.java,1,1,1,60,8,3,2,2.0,3,7.0,false
2,refs/tags/release-3.0.1,src/java/main/org/apache/zookeeper/server/ServerStats.java,1,0,0,127,0,0,0,0,3,0,false
2,refs/tags/release-3.0.1,src/java/main/org/apache/zookeeper/server/SessionTracker.java,1,0,0,48,0,0,0,0,2,0,false
2,refs/tags/release-3.0.1,src/java/main/org/apache/zookeeper/server/SessionTrackerImpl.java,1,0,0,190,0,0,0,0,5,0,false
2,refs/tags/release-3.0.1,src/java/main/org/apache/zookeeper/server/SyncRequestProcessor.java,1,1,1,130,22,17,12,12.0,4,3.0,false
2,refs/tags/release-3.0.1,src/java/main/org/apache/zookeeper/server/TraceFormatter.java,1,0,0,111,0,0,0,0,3,0,false
2,refs/tags/release-3.0.1,src/java/main/org/apache/zookeeper/server/WatchManager.java,1,0,0,100,0,0,0,0,3,0,false
2,refs/tags/release-3.0.1,src/java/main/org/apache/zookeeper/server/ZooKeeperServer.java,1,0,0,536,0,0,0,0,5,0,false
2,refs/tags/release-3.0.1,src/java/main/org/apache/zookeeper/server/ZooKeeperServerMain.java,1,1,1,78,10,8,7,7.0,2,7.0,false
2,refs/tags/release-3.0.1,src/java/main/org/apache/zookeeper/server/ZooTrace.java,1,0,0,72,0,0,0,0,2,0,false
2,refs/tags/release-3.0.1,src/java/main/org/apache/zookeeper/server/auth/AuthenticationProvider.java,1,0,0,74,0,0,0,0,2,0,false
2,refs/tags/release-3.0.1,src/java/main/org/apache/zookeeper/server/auth/DigestAuthenticationProvider.java,1,0,0,112,0,0,0,0,1,0,false
2,refs/tags/release-3.0.1,src/java/main/org/apache/zookeeper/server/auth/HostAuthenticationProvider.java,1,0,0,58,0,0,0,0,2,0,false
2,refs/tags/release-3.0.1,src/java/main/org/apache/zookeeper/server/auth/IPAuthenticationProvider.java,1,0,0,104,0,0,0,0,2,0,false
2,refs/tags/release-3.0.1,src/java/main/org/apache/zookeeper/server/auth/ProviderRegistry.java,1,0,0,69,0,0,0,0,2,0,false
2,refs/tags/release-3.0.1,src/java/main/org/apache/zookeeper/server/persistence/FileSnap.java,1,0,0,150,0,0,0,0,3,0,true
2,refs/tags/release-3.0.1,src/java/main/org/apache/zookeeper/server/persistence/FileTxnLog.java,1,0,0,452,0,0,0,0,2,0,false
2,refs/tags/release-3.0.1,src/java/main/org/apache/zookeeper/server/persistence/FileTxnSnapLog.java,1,0,0,227,0,0,0,0,3,0,true
2,refs/tags/release-3.0.1,src/java/main/org/apache/zookeeper/server/persistence/SnapShot.java,1,0,0,54,0,0,0,0,2,0,false
2,refs/tags/release-3.0.1,src/java/main/org/apache/zookeeper/server/persistence/TxnLog.java,1,0,0,100,0,0,0,0,1,0,false
2,refs/tags/release-3.0.1,src/java/main/org/apache/zookeeper/server/persistence/Util.java,1,0,0,279,0,0,0,0,2,0,false
2,refs/tags/release-3.0.1,src/java/main/org/apache/zookeeper/server/quorum/AckRequestProcessor.java,1,0,0,39,0,0,0,0,2,0,false
2,refs/tags/release-3.0.1,src/java/main/org/apache/zookeeper/server/quorum/AuthFastLeaderElection.java,1,0,0,758,0,0,0,0,3,0,false
2,refs/tags/release-3.0.1,src/java/main/org/apache/zookeeper/server/quorum/CommitProcessor.java,1,0,0,170,0,0,0,0,3,0,false
2,refs/tags/release-3.0.1,src/java/main/org/apache/zookeeper/server/quorum/Election.java,1,0,0,22,0,0,0,0,4,0,false
